col6,k-means6
brand_toyota,0.29
brand_vw,0.32
model_A1,0.15
model_Aygo,0.3
model_Polo,0.35
model_Up,0.23
model_Yaris,0.21
Petrol,0.38
Manual,0.37
DBScan,0.16
k-means6,1.0
