model_G Class,0.0001972127648739116,model_200,0.0013087956874407631,model_Crossland X,0.00013217252929191898,model_200,0.0012333275966891655,model_X2,0.00016211813994527162,model_Avensis,0.00016686579960214107,model_Eos,0.00014039228433814128
model_SQ7,0.00037393535945283825,model_220,0.0013087956874407631,Other.1,0.00023891384657115193,model_220,0.0012333275966891655,model_CL Class,0.00020424780354443673,model_X3,0.00018184878754925552,model_Caddy Life,0.0006288107536065294
Other.1,0.0006717257230541641,model_230,0.0013087956874407785,model_Fusion,0.00034448274208144226,model_230,0.001233327596689227,model_SL CLASS,0.0003823636027730368,Other.1,0.00047828996184610885,model_200,0.0014070442844398452
model_Scirocco,0.0009605894160191361,model_180,0.0013087956874408089,model_Zafira Tourer,0.0008007629418109145,model_180,0.0012333275966892466,model_Caddy Life,0.00040865532448694405,model_A8,0.000658017151626756,model_220,0.0014070442844398452
model_200,0.0013514727153445844,model_Transit Tourneo,0.0013087956874414499,DBScan,0.0008566087862814587,model_Transit Tourneo,0.0012333275966895237,model_2 Series,0.0005858350367943656,model_5 Series,0.0007728565580194197,model_230,0.0014070442844398676
model_220,0.0013514727153445844,model_Ranger,0.001308795687441505,model_Urban Cruiser,0.0012741289081035986,model_Escort,0.0012333275966895467,Other.1,0.0006377170320131771,model_200,0.0013944449941031714,model_180,0.001407044284439896
model_230,0.0013514727153446126,model_RS7,0.0013087956874436434,model_Escort,0.0015667074053589839,model_Ranger,0.0012333275966896322,model_GLB Class,0.0007633876508240577,model_220,0.0013944449941031716,model_Transit Tourneo,0.0014070442844402037
model_180,0.0013514727153446375,model_A2,0.0013087956874436443,model_230,0.0015667074053594835,model_RS7,0.0012333275966907547,model_S-MAX,0.0007928663459705422,model_180,0.0013944449941033841,model_Escort,0.001407044284440232
model_Transit Tourneo,0.0013514727153461467,model_Kuga,0.0013658063087603044,model_220,0.001566707405359524,model_A2,0.0012333275966907556,tax,0.000817274355055809,model_Transit Tourneo,0.0013944449941042604,model_Ranger,0.0014070442844403297
model_Escort,0.0013514727153461836,model_R Class,0.0018509271211695523,model_RS7,0.0015667074053604864,model_Streetka,0.0017441985176929356,model_Jetta,0.0009003658953940967,model_Escort,0.0013944449941043267,model_RS7,0.0014070442844411652
model_Ranger,0.0013514727153463755,model_Tigra,0.002266926370789749,brand_vauxhall,0.001984885768599436,model_R Class,0.0017441985176935679,model_Grandland X,0.0010443302787772916,model_Ranger,0.0013944449941046475,model_A2,0.0014070442844411662
model_RS7,0.001351472715347923,model_Kadjar,0.0022669263707897525,model_Streetka,0.0022156714415714727,model_Ampera,0.0021362103188303054,model_230,0.0013589214217373123,model_A2,0.001394444994106278,model_Streetka,0.0019898724084586854
model_A2,0.0013514727153479248,model_Ampera,0.002266926370789785,model_R Class,0.002215671441572358,model_CLC Class,0.0021362103188304225,model_200,0.0013589214217373598,model_GT86,0.001482809807773373,model_R Class,0.0019898724084597627
model_R Class,0.001911281895528117,model_Verso-S,0.002266926370791929,model_A6,0.0022473039888166704,model_Verso-S,0.002136210318831396,model_180,0.0013589214217373845,model_X4,0.001547917309201407,model_S4,0.0021382497714722377
model_Streetka,0.00191128189552813,model_CLC Class,0.0022669263707941916,model_A5,0.0026128795729451326,model_S5,0.00213621031883825,model_Transit Tourneo,0.0013589214217379637,model_Streetka,0.001972054220010071,model_Ampera,0.0024370998650647124
model_S5,0.0023408459908573227,model_S5,0.0022669263707985475,model_Ampera,0.002713647643098984,model_S8,0.002466697211538299,model_Escort,0.0013589214217380097,model_R Class,0.001972054220011702,model_S5,0.0024370998650670925
model_Tigra,0.002340845990872116,model_Vectra,0.0026176359641620723,model_Kadjar,0.0027136476430990016,model_Caddy Maxi,0.002466697211539118,model_Ranger,0.0013589214217381647,model_Tigra,0.002415277006240472,model_Tigra,0.002437099865067122
model_Kadjar,0.002340845990872122,model_Cascada,0.002617635964162076,model_Tigra,0.002713647643099002,model_Fox,0.002466697211539119,model_RS7,0.0013589214217395297,model_Kadjar,0.002415277006240477,model_Kadjar,0.002437099865067124
model_Ampera,0.002340845990872217,model_Fox,0.002617635964162257,model_CLC Class,0.0027136476431002645,model_Urban Cruiser,0.0024666972115394196,model_A2,0.0013589214217395312,model_Ampera,0.0024152770062406187,model_CLC Class,0.0024370998650676745
model_Verso-S,0.0023408459908748616,model_Caddy Maxi,0.002617635964162258,model_Verso-S,0.0027136476431006236,model_Cascada,0.0027538699017120266,model_Supra,0.0019029185667836673,model_X7,0.0026254997618064663,model_Caddy Maxi,0.002814136505380223
model_CLC Class,0.002340845990877933,model_Urban Cruiser,0.0026176359641657014,model_S5,0.002713647643102259,model_Caddy,0.003021109068253319,model_Streetka,0.0019218160169352546,model_Tiguan Allspace,0.002697227069144469,model_Vectra,0.002814136505381425
model_SL CLASS,0.0024088320738414547,model_S8,0.002617635964171322,model_Caddy Maxi Life,0.002885915407761957,Electric,0.003021109068253771,model_Tourneo Custom,0.0019318620168608264,model_Touran,0.0027818119063982953,model_Cascada,0.0028141365053814277
model_Fox,0.0027029914739278246,Electric,0.003205972630814156,model_Caddy Maxi,0.003133468186780807,year,0.003099128809344554,model_Caddy Maxi,0.002139976364730671,model_Fox,0.0027889374954614726,model_S8,0.002814136505389641
model_Vectra,0.0027029914739289313,model_Caddy,0.0032059726308196583,model_Fox,0.0031334681867808078,model_Eos,0.003263189278358736,model_Vectra,0.0021399763647311745,model_Caddy Maxi,0.0027889374954614757,Electric,0.0034466383940141535
